ticker symbol,company,sector,location
CHTR,Charter Communications,Consumer Discretionary,"Stamford, Connecticut"
CHK,Chesapeake Energy,Energy,"Oklahoma City, Oklahoma"
CVX,Chevron Corp.,Energy,"San Ramon, California"
CMG,Chipotle Mexican Grill,Consumer Discretionary,"Denver, Colorado"
CB,Chubb Limited,Financials,"Zurich, Switzerland"
CHD,Church & Dwight,Consumer Staples,"Ewing, New Jersey"
CI,CIGNA Corp.,Health Care,"Philadelphia, Pennsylvania"
XEC,Cimarex Energy,Energy,"Denver, Colorado"
CINF,Cincinnati Financial,Financials,"Fairfield, Ohio"
CTAS,Cintas Corporation,Industrials,"Mason, Ohio"
CSCO,Cisco Systems,Information Technology,"San Jose, California"
C,Citigroup Inc.,Financials,"New York, New York"
CFG,Citizens Financial Group,Financials,"Providence, Rhode Island"
CTXS,Citrix Systems,Information Technology,"Fort Lauderdale, Florida"
CLX,The Clorox Company,Consumer Staples,"Oakland, California"
CME,CME Group Inc.,Financials,"Chicago, Illinois"
CMS,CMS Energy,Utilities,"Jackson, Michigan"
KO,Coca-Cola Company,Consumer Staples,"Atlanta, Georgia"
CTSH,Cognizant Technology Solutions,Information Technology,"Teaneck, New Jersey"
CL,Colgate-Palmolive,Consumer Staples,"New York, New York"
CMCSA,Comcast Corp.,Consumer Discretionary,"Philadelphia, Pennsylvania"
CMA,Comerica Inc.,Financials,"Dallas, Texas"
CAG,Conagra Brands,Consumer Staples,"Chicago, Illinois"
CXO,Concho Resources,Energy,"Midland, Texas"
COP,ConocoPhillips,Energy,"Houston, Texas"
ED,Consolidated Edison,Utilities,"New York, New York"
STZ,Constellation Brands,Consumer Staples,"Victor, New York"
COO,The Cooper Companies,Health Care,"Pleasanton, California"
GLW,Corning Inc.,Information Technology,"Corning, New York"
COST,Costco Wholesale Corp.,Consumer Staples,"Issaquah, Washington"
COTY,"Coty, Inc",Consumer Staples,"New York, NY"
CCI,Crown Castle International Corp.,Real Estate,"Houston, Texas"
CSRA,CSRA Inc.,Information Technology,"Falls Church, Virginia"
CSX,CSX Corp.,Industrials,"Jacksonville, Florida"
