ticker symbol,company,sector,location
TJX,TJX Companies Inc.,Consumer Discretionary,"Framingham, Massachusetts"
TMK,Torchmark Corp.,Financials,"McKinney, Texas"
TSS,Total System Services,Information Technology,"Columbus, Georgia"
TSCO,Tractor Supply Company,Consumer Discretionary,"Brentwood, Tennessee"
TDG,TransDigm Group,Industrials,"Cleveland, Ohio"
TRV,The Travelers Companies Inc.,Financials,"New York, New York"
TRIP,TripAdvisor,Consumer Discretionary,"Newton, Massachusetts"
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,"New York, New York"
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,"New York, New York"
TSN,Tyson Foods,Consumer Staples,"Springdale, Arkansas"
UDR,UDR Inc,Real Estate,"Highlands Ranch, Colorado"
ULTA,Ulta Salon Cosmetics & Fragrance Inc,Consumer Discretionary,"Bolingbrook, Illinois"
USB,U.S. Bancorp,Financials,"Minneapolis, Minnesota"
UA,Under Armour,Consumer Discretionary,"Baltimore, Maryland"
UAA,Under Armour,Consumer Discretionary,"Baltimore, Maryland"
UNP,Union Pacific,Industrials,"Omaha, Nebraska"
UAL,United Continental Holdings,Industrials,"Chicago, Illinois"
UNH,United Health Group Inc.,Health Care,"Minnetonka, Minnesota"
UPS,United Parcel Service,Industrials,"Atlanta, Georgia"
URI,"United Rentals, Inc.",Industrials,"Stamford, Connecticut"
UTX,United Technologies,Industrials,"Hartford, Connecticut"
UHS,"Universal Health Services, Inc.",Health Care,"King of Prussia, Pennsylvania"
UNM,Unum Group,Financials,"Chattanooga, Tennessee"
VFC,V.F. Corp.,Consumer Discretionary,"Greensboro, North Carolina"
VLO,Valero Energy,Energy,"San Antonio, Texas"
VAR,Varian Medical Systems,Health Care,"Palo Alto, California"
VTR,Ventas Inc,Real Estate,"Chicago, Illinois"
VRSN,Verisign Inc.,Information Technology,"Dulles, Virginia"
VRSK,Verisk Analytics,Industrials,"Jersey City, New Jersey"
VZ,Verizon Communications,Telecommunication Services,"New York, New York"
VRTX,Vertex Pharmaceuticals Inc,Health Care,"Cambridge, Massachusetts"
VIAB,Viacom Inc.,Consumer Discretionary,"New York, New York"
V,Visa Inc.,Information Technology,"San Francisco, California"
VNO,Vornado Realty Trust,Real Estate,"New York, New York"
VMC,Vulcan Materials,Materials,"Birmingham, Alabama"
WMT,Wal-Mart Stores,Consumer Staples,"Bentonville, Arkansas"
WBA,Walgreens Boots Alliance,Consumer Staples,"Deerfield, Illinois"
DIS,The Walt Disney Company,Consumer Discretionary,"Burbank, California"
WM,Waste Management Inc.,Industrials,"Houston, Texas"
WAT,Waters Corporation,Health Care,"Milford, Massachusetts"
WEC,Wec Energy Group Inc,Utilities,"Milwaukee, Wisconsin"
WFC,Wells Fargo,Financials,"San Francisco, California"
HCN,Welltower Inc.,Real Estate,"Toledo, Ohio"
WDC,Western Digital,Information Technology,"Irvine, California"
WU,Western Union Co,Information Technology,"Englewood, Colorado"
WRK,WestRock Company,Materials,"Richmond, Virginia"
WY,Weyerhaeuser Corp.,Real Estate,"Federal Way, Washington"
WHR,Whirlpool Corp.,Consumer Discretionary,"Benton Harbor, Michigan"
WMB,Williams Cos.,Energy,"Tulsa, Oklahoma"
WLTW,Willis Towers Watson,Financials,"London, United Kingdom"
WYN,Wyndham Worldwide,Consumer Discretionary,"Parsippany, New Jersey"
WYNN,Wynn Resorts,Consumer Discretionary,"Paradise, Nevada"
XEL,Xcel Energy Inc,Utilities,"Minneapolis, Minnesota"
XRX,Xerox Corp.,Information Technology,"Norwalk, Connecticut"
XLNX,Xilinx Inc,Information Technology,"San Jose, California"
XL,XL Capital,Financials,"Hamilton, Bermuda"
XYL,Xylem Inc.,Industrials,"White Plains, New York"
YUM,Yum! Brands Inc,Consumer Discretionary,"Louisville, Kentucky"
ZBH,Zimmer Biomet Holdings,Health Care,"Warsaw, Indiana"
ZION,Zions Bancorp,Financials,"Salt Lake City, Utah"
ZTS,Zoetis,Health Care,"Florham Park, New Jersey"
